クライアントID,興行ID,公演日,開演時間,席種NO,席種名,券種NO,券種名,販売枚数
jd,JD25111430,20251127,1730,4,入場券,6,大人,1
jd,JD25111430,20251127,1730,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251127,1820,4,入場券,6,大人,0
jd,JD25111430,20251127,1820,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251127,1910,4,入場券,6,大人,0
jd,JD25111430,20251127,1910,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251127,2000,4,入場券,6,大人,0
jd,JD25111430,20251127,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1000,4,入場券,6,大人,42
jd,JD25111430,20251128,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1050,4,入場券,6,大人,14
jd,JD25111430,20251128,1050,4,入場券,7,子ども(3～12歳まで),1
jd,JD25111430,20251128,1140,4,入場券,6,大人,14
jd,JD25111430,20251128,1140,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1230,4,入場券,6,大人,14
jd,JD25111430,20251128,1230,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1320,4,入場券,6,大人,23
jd,JD25111430,20251128,1320,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1410,4,入場券,6,大人,8
jd,JD25111430,20251128,1410,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1500,4,入場券,6,大人,8
jd,JD25111430,20251128,1500,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1550,4,入場券,6,大人,5
jd,JD25111430,20251128,1550,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1640,4,入場券,6,大人,5
jd,JD25111430,20251128,1640,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251128,1730,4,入場券,6,大人,160
jd,JD25111430,20251128,1730,4,入場券,7,子ども(3～12歳まで),5
jd,JD25111430,20251128,1820,4,入場券,6,大人,80
jd,JD25111430,20251128,1820,4,入場券,7,子ども(3～12歳まで),1
jd,JD25111430,20251128,1910,4,入場券,6,大人,56
jd,JD25111430,20251128,1910,4,入場券,7,子ども(3～12歳まで),2
jd,JD25111430,20251128,2000,4,入場券,6,大人,28
jd,JD25111430,20251128,2000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1000,4,入場券,6,大人,96
jd,JD25111430,20251129,1000,4,入場券,7,子ども(3～12歳まで),0
jd,JD25111430,20251129,1050,4,入場券,6,大人,86
